Algoritmo, Cenario, Tamanho_N, Tempo_Medio_ms, Desvio_Padrao_ms
Backtracking,Melhor Caso,10,0.0001,0.0001
Backtracking,Caso Medio,10,0.0011,0.0003
Backtracking,Pior Caso,10,0.0089,0.0001
DP,Melhor Caso,10,0.0146,0.0067
DP,Caso Medio,10,0.0094,0.0026
DP,Pior Caso,10,0.0210,0.0010
Backtracking,Melhor Caso,20,0.0003,0.0002
Backtracking,Caso Medio,20,0.0009,0.0001
Backtracking,Pior Caso,20,6.9236,1.4037
DP,Melhor Caso,20,0.0114,0.0052
DP,Caso Medio,20,0.0178,0.0035
DP,Pior Caso,20,0.0618,0.0108
Backtracking,Melhor Caso,30,0.0004,0.0001
Backtracking,Caso Medio,30,0.0370,0.0007
Backtracking,Pior Caso,30,5691.0012,196.2134
DP,Melhor Caso,30,0.0151,0.0027
DP,Caso Medio,30,0.0501,0.0064
DP,Pior Caso,30,0.1502,0.0198
